date,course,off,race_name,distance,runner_rows,flag_reason,decision,evidence
2015-02-08,Leopardstown (IRE),3:50,Hennessy Gold Cup,3m,8,distance at least 3 miles,exclude_non_flat,Published race conditions identify a steeplechase; checked 2026-09-23; https://www.irishracing.com/allraces?prc=093&prd=20150208&venue=Leopardstown_Sun_8th_Feb
2015-02-13,Sandown,3:05,Royal Artillery Gold Cup (Chase For Military Amateur Riders)(Supported By Morgan Advanced Materials),3m,10,distance at least 3 miles; race-name keyword,exclude_non_flat,Source race name explicitly says Chase For Military Amateur Riders; contradicts Flat label.
2015-03-06,Sandown,3:25,Grand Military Gold Cup (Chase For Military Amateur Riders) (Sponsored By The Military Mutual),3m,12,distance at least 3 miles; race-name keyword,exclude_non_flat,Source race name explicitly says Chase For Military Amateur Riders; contradicts Flat label.
2015-04-29,Punchestown (IRE),5:30,Bibby Financial Services Ireland Punchestown Gold Cup,3m1f,8,distance at least 3 miles,exclude_non_flat,BHA classifies this winning performance in the 3-mile-plus chasing division; checked 2026-09-23; https://www.britishhorseracing.com/press_releases/cossack-the-don-of-201415-anglo-irish-jump-classifications/
2015-05-14,Fontwell,5:05,racebets.com - Claim Your £50 Welcome Bonus! Novices Hunters Chs (Guy Peate Memorial Chall Trphy),3m1½f,14,distance at least 3 miles; race-name keyword,exclude_non_flat,Source race name explicitly says Novices Hunters Chs; contradicts Flat label.
2015-05-22,Bath,3:50,Simonstone Fiat 500X Chase Handicap,1m3½f,6,race-name keyword,retain_flat,Published result explicitly classifies race as Flat Turf; checked 2026-09-23; https://www.horseracing.net/results/bath/22-05-15
2015-08-15,Doncaster,5:55,Chase Medical Apprentice Handicap,1m2f,8,race-name keyword,retain_flat,Published result explicitly classifies race as Flat Turf; checked 2026-09-23; https://www.horseracing.net/results/doncaster/15-08-15
2015-08-15,Ripon,1:50,CHS Vehicles Maiden Auction Stakes,6f,9,race-name keyword,retain_flat,Published result explicitly classifies race as Flat Turf; checked 2026-09-23; https://www.horseracing.net/results/ripon/15-08-15
2015-10-07,Keeneland (USA),9:24,JPMorgan Chase Jessamine Stakes  (2yo Fillies) (Turf),1m½f,14,race-name keyword,retain_flat,Jessamine Stakes event history identifies flat racing and JPMorgan Chase sponsorship; event-level classification reviewed rather than individual start time; checked 2026-09-23; https://en.wikipedia.org/wiki/Jessamine_Stakes
2016-03-11,Sandown,3:15,Grand Military Gold Cup (Chase for Military Amateur Riders) (Sponsored by The Military Mutual),3m,8,distance at least 3 miles; race-name keyword,exclude_non_flat,Source race name explicitly says Chase for Military Amateur Riders; contradicts Flat label.
